Protein,KO,Description
PN96_RS20395,K03546,"sbcC, rad50; DNA repair protein SbcC/Rad50"
PN96_RS02550,,
PN96_RS09375,K09816,znuB; zinc transport system permease protein
PN96_RS18770,K25901,qsuD; quinate/shikimate dehydrogenase (NAD+) [EC:1.1.1.24]
PN96_RS16895,K00878,thiM; hydroxyethylthiazole kinase [EC:2.7.1.50]
PN96_RS09150,,
PN96_RS11540,K18446,ygiF; triphosphatase [EC:3.6.1.25]
PN96_RS13835,K06199,"crcB, FEX; fluoride exporter"
PN96_RS02905,,
PN96_RS15495,,
PN96_RS23135,,
PN96_RS06215,K03834,tyrP; tyrosine-specific transport protein
PN96_RS08095,K05782,benE; benzoate membrane transport protein
PN96_RS20385,,
PN96_RS05580,K09971,"aapM, bztC; general L-amino acid transport system permease protein"
PN96_RS21330,,
PN96_RS11275,K02227,"cbiB, cobD; adenosylcobinamide-phosphate synthase [EC:6.3.1.10]"
PN96_RS07605,,
PN96_RS20750,,
PN96_RS02215,,
PN96_RS05815,K00404,ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
PN96_RS21845,K05571,"mnhG, mrpG; multicomponent Na+:H+ antiporter subunit G"
PN96_RS16800,K11312,K11312; cupin 2 domain-containing protein
PN96_RS06410,,
PN96_RS03730,K06192,pqiB; paraquat-inducible protein B
PN96_RS18120,,
PN96_RS12320,K02473,wbpP; UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45]
PN96_RS18580,K21757,"benM; LysR family transcriptional regulator, benzoate and cis,cis-muconate-responsive activator of ben and cat genes"
PN96_RS08505,,
PN96_RS23505,K07160,pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
PN96_RS10150,,
PN96_RS19815,,
PN96_RS23640,K10109,malF; maltose/maltodextrin transport system permease protein
PN96_RS15935,K25284,"yclN, ceuB; iron-siderophore transport system permease protein"
PN96_RS09455,K03839,"fldA, nifF, isiB; flavodoxin I"
PN96_RS18480,,
PN96_RS11315,K03574,"mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]"
PN96_RS23005,,
PN96_RS17540,,
PN96_RS22985,,
PN96_RS19805,K26065,amaA; L-pipecolate oxidase
PN96_RS19850,K08224,"ynfM, yybF; MFS transporter, YNFM family, putative membrane transport protein"
PN96_RS16350,K23775,"ohrR; MarR family transcriptional regulator, organic hydroperoxide resistance regulator"
PN96_RS04510,,
PN96_RS06935,,
PN96_RS03370,K03635,"MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
PN96_RS19570,,
PN96_RS09775,K01885,"EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]"
PN96_RS02230,K22900,"TRMO, trmO; tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-]"
PN96_RS10640,,
PN96_RS09670,K02396,flgK; flagellar hook-associated protein 1
PN96_RS18695,K07080,K07080; uncharacterized protein
PN96_RS07220,,
PN96_RS04835,K03337,iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30]
PN96_RS13205,K03718,"asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA"
PN96_RS02785,K02196,ccmD; heme exporter protein D
PN96_RS17150,K03317,"TC.CNT; concentrative nucleoside transporter, CNT family"
PN96_RS09510,K01772,"hemH, FECH; protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]"
PN96_RS13115,K12511,tadC; tight adherence protein C
PN96_RS15720,K00528,fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
PN96_RS11320,K03070,secA; preprotein translocase subunit SecA [EC:7.4.2.8]
PN96_RS01635,K02427,"rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"
PN96_RS05935,K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma"
PN96_RS07985,,
PN96_RS09780,K17686,"copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]"
PN96_RS07475,,
PN96_RS15375,K03924,moxR; MoxR-like ATPase [EC:3.6.3.-]
PN96_RS17100,K05844,rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PN96_RS07415,,
PN96_RS13925,K05835,rhtC; threonine efflux protein
PN96_RS19920,,
PN96_RS15390,K07114,yfbK; Ca-activated chloride channel homolog
PN96_RS15730,,
PN96_RS11910,K01507,ppa; inorganic pyrophosphatase [EC:3.6.1.1]
PN96_RS20660,,
PN96_RS11915,,
PN96_RS22890,,
PN96_RS18470,,
PN96_RS06870,,
PN96_RS02715,K02404,flhF; flagellar biosynthesis protein FlhF
PN96_RS22470,K00305,"soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]"
PN96_RS18105,K02858,"ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"
PN96_RS17800,K16345,xanP; xanthine permease XanP
PN96_RS06800,K02013,ABC.FEV.A; iron complex transport system ATP-binding protein [EC:7.2.2.-]
PN96_RS19270,K06075,"slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin"
PN96_RS02645,K02410,fliG; flagellar motor switch protein FliG
PN96_RS22705,K00845,glk; glucokinase [EC:2.7.1.2]
PN96_RS11800,K02528,ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
PN96_RS09615,K01972,"E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]"
PN96_RS17625,K02054,ABC.SP.P1; putative spermidine/putrescine transport system permease protein
PN96_RS21885,K01147,rnb; exoribonuclease II [EC:3.1.13.1]
PN96_RS18965,K02616,paaX; phenylacetic acid degradation operon negative regulatory protein
PN96_RS21855,K05569,"mnhE, mrpE; multicomponent Na+:H+ antiporter subunit E"
PN96_RS05340,K02476,"K02476; two-component system, CitB family, sensor kinase [EC:2.7.13.3]"
PN96_RS02240,K02919,"RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
PN96_RS16250,K00853,araB; L-ribulokinase [EC:2.7.1.16]
PN96_RS10400,K03631,recN; DNA repair protein RecN (Recombination protein N)
PN96_RS14660,K13288,"orn, REX2, REXO2; oligoribonuclease [EC:3.1.-.-]"
PN96_RS20085,,
PN96_RS10890,K02050,ABC.SN.P; NitT/TauT family transport system permease protein
PN96_RS14405,K03786,"aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"
PN96_RS20840,,
PN96_RS13540,K06205,mioC; MioC protein
PN96_RS09745,K09860,flgP; outer membrane protein FlgP
PN96_RS11950,,
PN96_RS02980,K03749,dedD; DedD protein
PN96_RS21045,K07459,ybjD; putative ATP-dependent endonuclease of the OLD family
PN96_RS05980,,
PN96_RS16880,K07812,torZ; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]
PN96_RS22080,,
PN96_RS18075,K00901,"dgkA, DGK; diacylglycerol kinase (ATP) [EC:2.7.1.107]"
PN96_RS15870,K01200,pulA; pullulanase [EC:3.2.1.41]
PN96_RS21910,,
PN96_RS00440,K03580,hepA; ATP-dependent helicase HepA [EC:5.6.2.-]
PN96_RS12360,,
PN96_RS07930,K00892,gsk; inosine kinase [EC:2.7.1.73]
PN96_RS23420,,
PN96_RS18050,,
PN96_RS09385,K01903,sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
PN96_RS21770,K00253,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
PN96_RS03265,K07084,yuiF; putative amino acid transporter
PN96_RS07675,K12266,norR; anaerobic nitric oxide reductase transcription regulator
PN96_RS15000,K01438,argE; acetylornithine deacetylase [EC:3.5.1.16]
PN96_RS09100,K10125,"dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]"
PN96_RS23975,,
PN96_RS10105,K02819,"treB, treP; trehalose PTS system EIIBC or EIIBCA component [EC:2.7.1.201]"
PN96_RS15535,,
PN96_RS00445,,
PN96_RS06045,,
PN96_RS14180,K08316,rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
PN96_RS05210,K03310,"TC.AGCS; alanine or glycine:cation symporter, AGCS family"
PN96_RS15715,K09909,K09909; uncharacterized protein
PN96_RS18735,,
PN96_RS10010,K07042,"ybeY, yqfG; probable rRNA maturation factor"
PN96_RS03855,,
PN96_RS11355,K02563,murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
PN96_RS21495,K07407,"E3.2.1.22B, galA, rafA; alpha-galactosidase [EC:3.2.1.22]"
PN96_RS03640,K14162,dnaE2; error-prone DNA polymerase [EC:2.7.7.7]
PN96_RS19095,K04069,"pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]"
PN96_RS20595,K00362,nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
PN96_RS11140,K03840,fldB; flavodoxin II
PN96_RS17945,,
PN96_RS05670,K01256,pepN; aminopeptidase N [EC:3.4.11.2]
PN96_RS13060,,
PN96_RS21850,K05570,"mnhF, mrpF; multicomponent Na+:H+ antiporter subunit F"
PN96_RS10215,K00795,ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
PN96_RS08190,,
PN96_RS10115,K03273,"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
PN96_RS16570,K03312,"gltS; glutamate:Na+ symporter, ESS family"
PN96_RS22725,K26148,K26148; c-di-GMP phosphodiesterase [EC:3.1.4.52]
PN96_RS03410,K13788,pta; phosphate acetyltransferase [EC:2.3.1.8]
PN96_RS10210,K03602,xseB; exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
PN96_RS17785,K00817,hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
PN96_RS19330,,
PN96_RS22885,,
PN96_RS13275,K02031/K02032,
PN96_RS03565,K09458,"fabF, OXSM, CEM1; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
PN96_RS23465,,
PN96_RS13535,K03650,"mnmE, trmE, MSS1; tRNA modification GTPase [EC:3.6.-.-]"
PN96_RS12105,K02931,"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
PN96_RS07785,K15986,ppaC; manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]
PN96_RS19885,,
PN96_RS14530,,
PN96_RS08745,K12254,kauB; 4-guanidinobutyraldehyde dehydrogenase / NAD-dependent aldehyde dehydrogenase [EC:1.2.1.54 1.2.1.-]
PN96_RS07480,,
PN96_RS03860,,
PN96_RS06390,K00839,pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]
PN96_RS17570,,
PN96_RS12025,K03773,fklB; FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]
PN96_RS17470,K16238,"eat, eutP; ethanolamine permease"
PN96_RS20610,K02303,cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PN96_RS00565,K09022,"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
PN96_RS03035,K06940,K06940; uncharacterized protein
PN96_RS13880,K07552,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"
PN96_RS17450,,
PN96_RS02885,,
PN96_RS18755,K13936,mdcF; malonate transporter and related proteins
PN96_RS21815,K05592,"deaD, cshA; ATP-dependent RNA helicase DeaD [EC:5.6.2.7]"
PN96_RS01510,,
PN96_RS06585,,
PN96_RS13425,K19745,acuI; acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
PN96_RS06650,K10439,rbsB; ribose transport system substrate-binding protein
PN96_RS20335,K02033,ABC.PE.P; peptide/nickel transport system permease protein
PN96_RS04180,,
PN96_RS19375,,
PN96_RS08005,K02169,bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]
PN96_RS11850,,
PN96_RS08800,K13636,"dsdC; LysR family transcriptional regulator, D-serine deaminase activator"
PN96_RS04940,,
PN96_RS11635,K02073,metQ; D-methionine transport system substrate-binding protein
PN96_RS07395,K00027,"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]"
PN96_RS11310,K00215,dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
PN96_RS22195,,
PN96_RS01615,K07259,dacB; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
PN96_RS20295,K01026,pct; propionate CoA-transferase [EC:2.8.3.1]
PN96_RS13410,,
PN96_RS12480,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25]
PN96_RS23870,,
PN96_RS12770,,
PN96_RS17370,,
PN96_RS06930,,
PN96_RS21705,K02257,"COX10, ctaB, cyoE; heme o synthase [EC:2.5.1.141]"
PN96_RS15650,,
PN96_RS17920,K02757,"bglF, bglP; beta-glucoside PTS system EIICBA component [EC:2.7.1.-]"
PN96_RS20760,,
PN96_RS05575,K09972,"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]"
PN96_RS00955,K01807,rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]
PN96_RS04995,K06193,phnA; protein PhnA
PN96_RS19965,K10439,rbsB; ribose transport system substrate-binding protein
PN96_RS22870,,
PN96_RS00450,K06177,rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]
PN96_RS21260,,
PN96_RS02725,K02405,"fliA, whiG; RNA polymerase sigma factor FliA"
PN96_RS13330,K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system"
PN96_RS00270,K00928,lysC; aspartate kinase [EC:2.7.2.4]
PN96_RS09360,K19693,"tfoS; AraC family transcriptional regulator, chitin signaling transcriptional activator"
PN96_RS01855,,
PN96_RS05730,K09911,K09911; uncharacterized protein
PN96_RS00055,K03524,"birA; BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]"
PN96_RS14175,K08993,yhhL; putative membrane protein
PN96_RS22745,,
PN96_RS06415,K16841,hpxA; allantoin racemase [EC:5.1.99.3]
PN96_RS14035,K02498,hemY; HemY protein
PN96_RS21230,K00605,"gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]"
PN96_RS07385,,
PN96_RS18180,,
PN96_RS10960,K14187,tyrA; chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]
PN96_RS17200,K12267,msrAB; peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]
PN96_RS01940,K12113,"ebgR; LacI family transcriptional regulator, ebg operon repressor"
PN96_RS04480,,
PN96_RS15790,,
PN96_RS01810,K02355,"fusA, GFM, EFG; elongation factor G"
PN96_RS22040,,
PN96_RS13730,,
PN96_RS04425,,
PN96_RS21445,,
PN96_RS12925,K06207,"typA, bipA; GTP-binding protein"
PN96_RS03080,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
PN96_RS00475,K08485,"ptsO, npr; phosphocarrier protein NPr"
PN96_RS23215,K07250,gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
PN96_RS23350,,
PN96_RS02250,K09768,K09768; uncharacterized protein
PN96_RS17810,K07127,"uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]"
PN96_RS12425,K00963,"UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
PN96_RS13910,K03657,"uvrD, pcrA; ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]"
PN96_RS04985,,
PN96_RS22130,K06901,"pbuG, azgA, ghxP, ghxQ, adeQ; adenine/guanine/hypoxanthine permease"
PN96_RS02770,K02193,ccmA; heme exporter protein A [EC:7.6.2.5]
PN96_RS10970,K01207,nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]
PN96_RS01720,K24844,ubiU; O2-independent ubiquinone biosynthesis protein UbiU
PN96_RS02135,K11391,rlmG; 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]
PN96_RS22615,K02109,"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
PN96_RS21735,K00020,"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
PN96_RS15430,,
PN96_RS16755,K00065,kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
PN96_RS18780,K10218,"ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]"
PN96_RS19090,,
PN96_RS02685,K02418,"fliO, fliZ; flagellar protein FliO/FliZ"
PN96_RS15645,K08234,yaeR; glyoxylase I family protein
PN96_RS08235,K03641,tolB; TolB protein
PN96_RS05990,,
PN96_RS01450,K05365,mrcB; penicillin-binding protein 1B [EC:2.4.99.28 3.4.16.4]
PN96_RS09250,,
PN96_RS05140,,
PN96_RS02430,K02342,dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
PN96_RS09030,K02552,menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]
PN96_RS03955,K01696,trpB; tryptophan synthase beta chain [EC:4.2.1.20]
PN96_RS07885,K02501,hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
PN96_RS12715,K03559,exbD; biopolymer transport protein ExbD
PN96_RS12580,,
PN96_RS22310,,
PN96_RS07445,K00831,"serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]"
PN96_RS11075,K07090,K07090; uncharacterized protein
PN96_RS18135,,
PN96_RS18575,K01039,"gctA; glutaconate CoA-transferase, subunit A [EC:2.8.3.12]"
PN96_RS14985,K00297,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
PN96_RS08910,,
PN96_RS13175,K06144,uspB; universal stress protein B
PN96_RS24120,K02651,"flp, pilA; pilus assembly protein Flp/PilA"
PN96_RS20180,,
PN96_RS23540,,
PN96_RS02440,,
PN96_RS13845,K00788,thiE; thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
PN96_RS06485,,
PN96_RS13145,K02279,"cpaB, rcpC; pilus assembly protein CpaB"
PN96_RS15740,,
PN96_RS13590,K02111,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
PN96_RS01315,K09862,K09862; uncharacterized protein
PN96_RS01765,K03317,"TC.CNT; concentrative nucleoside transporter, CNT family"
PN96_RS01985,K02440,glpF; glycerol uptake facilitator
PN96_RS12300,,
PN96_RS21775,K01969,"MCCC2, accD1; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]"
PN96_RS08300,,
PN96_RS02745,K03412,"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
PN96_RS23075,,
PN96_RS03975,K01657,trpE; anthranilate synthase component I [EC:4.1.3.27]
PN96_RS14240,K01356,lexA; repressor LexA [EC:3.4.21.88]
PN96_RS20035,,
PN96_RS03130,,
PN96_RS13475,K04080,ibpA; molecular chaperone IbpA
PN96_RS05345,K02475,"K02475; two-component system, CitB family, response regulator"
PN96_RS02890,K09906,epmC; elongation factor P hydroxylase [EC:1.14.-.-]
PN96_RS10290,K06901,"pbuG, azgA, ghxP, ghxQ, adeQ; adenine/guanine/hypoxanthine permease"
PN96_RS19030,K01501,E3.5.5.1; nitrilase [EC:3.5.5.1]
PN96_RS04715,,
PN96_RS01850,K02280,"cpaC, rcpA; pilus assembly protein CpaC"
PN96_RS04365,,
PN96_RS22220,,
PN96_RS18435,K01011,"TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]"
PN96_RS01445,K03579,hrpB; ATP-dependent RNA helicase HrpB [EC:5.6.2.6]
PN96_RS02475,K02824,"uraA, pyrP; uracil permease"
PN96_RS14810,K01867,"WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
PN96_RS15070,K01735,aroB; 3-dehydroquinate synthase [EC:4.2.3.4]
PN96_RS08730,K05524,fdxA; ferredoxin
PN96_RS02395,K04751,glnB; nitrogen regulatory protein P-II 1
PN96_RS21480,K07518,E3.1.1.22; hydroxybutyrate-dimer hydrolase [EC:3.1.1.22]
PN96_RS11490,K02622,parE; topoisomerase IV subunit B [EC:5.6.2.2]
PN96_RS13260,K02034,ABC.PE.P1; peptide/nickel transport system permease protein
PN96_RS09040,K08722,yfbR; 5'-deoxynucleotidase [EC:3.1.3.89]
PN96_RS16910,K15599,thiX; putative hydroxymethylpyrimidine transport system permease protein
PN96_RS08795,K01223,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
PN96_RS19800,,
PN96_RS03940,K01897,"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
PN96_RS08045,K03719,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
PN96_RS17795,,
PN96_RS21900,,
PN96_RS14040,K02496,hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PN96_RS18400,K01626,"E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]"
PN96_RS15945,K25285,"yclP, ceuD; iron-siderophore transport system ATP-binding protein [EC:7.2.2.-]"
PN96_RS17915,K01223,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
PN96_RS01670,K09748,rimP; ribosome maturation factor RimP
PN96_RS16255,K03077,"araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
PN96_RS17195,,
PN96_RS05415,,
PN96_RS05375,,
PN96_RS15240,K20950,vpsQ; polysaccharide biosynthesis protein VpsQ
PN96_RS06270,K01429,ureB; urease subunit beta [EC:3.5.1.5]
PN96_RS18585,K01856,catB; muconate cycloisomerase [EC:5.5.1.1]
PN96_RS05385,K00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-]
PN96_RS12040,K03040,rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
PN96_RS07650,K05777,ynjB; putative thiamine transport system substrate-binding protein
PN96_RS02820,K06076,fadL; long-chain fatty acid transport protein
PN96_RS09305,K14742,tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
PN96_RS09565,,
PN96_RS13135,,
PN96_RS17700,K09773,"ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]"
PN96_RS03105,K04773,sppA; protease IV [EC:3.4.21.-]
PN96_RS02505,,
PN96_RS10830,,
PN96_RS17375,,
PN96_RS19110,,
PN96_RS09855,K02492,hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
PN96_RS05450,,
PN96_RS09540,K07401,K07401; selenoprotein W-related protein
PN96_RS08555,,
PN96_RS13630,,
PN96_RS20245,,
PN96_RS22495,K21832,"gbcB, bmoB; glycine betaine monooxygenase B [EC:1.14.13.251]"
PN96_RS01885,K12510,tadB; tight adherence protein B
PN96_RS13360,,
PN96_RS19705,K13936,mdcF; malonate transporter and related proteins
PN96_RS10075,K09158,K09158; uncharacterized protein
PN96_RS23405,K09781,K09781; uncharacterized protein
PN96_RS05605,K09767,yajQ; cyclic-di-GMP-binding protein
PN96_RS14560,K02356,efp; elongation factor P
PN96_RS00415,K08301,"rng, cafA; ribonuclease G [EC:3.1.26.-]"
PN96_RS00485,K02806,ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-]
PN96_RS16330,K02004,ABC.CD.P; putative ABC transport system permease protein
PN96_RS10910,K06180,rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
PN96_RS19400,,
PN96_RS21195,K11183,"fruB, fpr; multiphosphoryl transfer protein [EC:2.7.1.202]"
PN96_RS13170,,
PN96_RS09430,K09977,K09977; uncharacterized protein
PN96_RS13085,K09790,K09790; uncharacterized protein
PN96_RS21395,,
PN96_RS12330,K02474,wbpO; UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]
PN96_RS05315,K01992,ABC-2.P; ABC-2 type transport system permease protein
PN96_RS22635,K02114,"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
PN96_RS20350,K07116,"pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]"
PN96_RS12290,,
PN96_RS02610,K02422,fliS; flagellar secretion chaperone FliS
PN96_RS18280,K05834,rhtB; homoserine/homoserine lactone efflux protein
PN96_RS04730,,
PN96_RS08260,,
PN96_RS12280,,
PN96_RS14910,,
PN96_RS01130,K03787,surE; 5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]
PN96_RS11705,,
PN96_RS22305,K00625,pta; phosphate acetyltransferase [EC:2.3.1.8]
PN96_RS14090,K20862,yigB; FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]
PN96_RS16115,K00692,sacB; levansucrase [EC:2.4.1.10]
